,track,date.entered,date.peaked
271,No Me Dejes De Qu...,2000-06-10,2000-06-10
311,Souljas,2000-11-18,2000-11-18
312,Cherchez LaGhost,2000-08-05,2000-08-05
316,Toca's Miracle,2000-10-28,2000-10-28
531,Deck The Halls,1999-12-25,2000-01-01
626,I Know,2000-12-30,2000-12-30
627,Imagine That,2000-08-12,2000-08-19
631,Kernkraft 400,2000-09-02,2000-09-02
632,Got Beef,2000-07-01,2000-07-01
889,Tricky Tricky ,2000-01-29,2000-02-05
894,A Country Boy Can...,2000-01-01,2000-01-08
921,The Hardest Part ...,2000-09-02,2000-09-09
925,Still In My Heart,2000-03-04,2000-03-11
940,All Good?,2000-12-23,2000-12-23
941,Get Up,2000-03-04,2000-03-11
942,Spanish Guitar,2000-12-02,2000-12-02
1233,Can't Stay,2000-03-25,2000-03-25
1235,West Side Story,2000-08-05,2000-08-12
1236,Me Neither,2000-05-13,2000-05-20
1249,Love Sets You Free,2000-05-13,2000-05-20
1250,Riddle,2000-06-17,2000-06-17
1253,Pull Over,2000-09-09,2000-09-16
1264,Freakin' It,2000-02-12,2000-02-12
1317,Auld Lang Syne (T...,1999-12-25,2000-01-08
1477,Best Friend,2000-02-12,2000-02-19
1481,I Don't Wanna Kis...,2000-04-15,2000-04-22
1499,Private Emotion,2000-03-11,2000-03-18
1500,If I Am,2000-12-02,2000-12-02
1508,Left & Right,1999-12-11,2000-01-01
1511,Breathe And Stop,2000-01-22,2000-01-22
1536,Smoke Rings In Th...,2000-01-22,2000-02-05
1551,Can't Go For That,2000-09-16,2000-09-30
1557,Got It All,2000-07-15,2000-07-22
1562,Baby U Are,2000-08-19,2000-08-26
1572,Dancing Queen,2000-07-08,2000-07-29
1760,Nothing As It Seems,2000-05-13,2000-05-13
1801,Where You Are,2000-04-01,2000-04-15
1821,Do What You Gotta Do,2000-02-19,2000-03-18
1832,Sleepwalker,2000-10-28,2000-10-28
1844,A Little Gasoline,2000-12-16,2000-12-16
1858,Daddy Won't Sell ...,2000-03-04,2000-03-25
1862,Real Live Woman,2000-04-01,2000-04-29
1866,U Understand,2000-02-05,2000-02-12
1878,If You Don't Wann...,2000-03-25,2000-04-15
1881,The Quittin' Kind,2000-01-01,2000-01-22
1982,This Time Around,2000-04-22,2000-05-06
2016,Crybaby,2000-06-24,2000-06-24
2084,Dear Lie,2000-02-12,2000-03-04
2113,Pop Ya Collar,2000-11-04,2000-11-18
2148,Baby Don't Cry (K...,2000-02-26,2000-03-11
2152,"Ryde or Die, Chick",2000-03-18,2000-03-25
2188,Take That,2000-06-24,2000-07-08
2199,Do You,2000-11-11,2000-12-02
2205,Ta Da,2000-08-12,2000-09-16
2411,Anything,2000-02-26,2000-03-11
2448,As We Lay,2000-07-15,2000-08-05
2473,Another Nine Minutes,2000-04-29,2000-05-20
2481,Put Your Hand In ...,2000-01-29,2000-02-12
2485,Mr. Too Damn Good,2000-03-18,2000-04-08
2486,Stay Or Let It Go,2000-02-26,2000-03-25
2653,American Pie,2000-02-19,2000-03-04
2703,The Itch,2000-12-02,2000-12-16
2734,This Woman Needs,2000-02-05,2000-03-04
2762,Do It Again (Put ...,2000-01-15,2000-01-29
2773,Original Prankster,2000-11-25,2000-12-09
2775,"Same Script, Diff...",2000-06-17,2000-07-15
2777,I Belong To You,2000-03-25,2000-04-08
2806,Monica,2000-05-20,2000-06-17
2815,Straight Up,2000-10-28,2000-12-02
2828,3 Little Words,2000-06-03,2000-06-17
3059,The Way I Am,2000-08-26,2000-09-30
3065,No Matter What Th...,2000-07-15,2000-08-05
3071,U Don't Love Me,2000-03-04,2000-03-18
3076,It Was,2000-03-04,2000-04-15
3081,Cold Day In July,2000-06-24,2000-08-05
3086,Give Me You,2000-04-15,2000-05-13
3106,No Leaf Clover (L...,2000-02-12,2000-03-11
3133,What Means The Wo...,2000-10-14,2000-11-18
3153,No Mercy,2000-03-18,2000-05-06
3245,Dancin',1999-12-18,2000-01-01
3263,Lucky,2000-08-12,2000-09-09
3281,I Learned From Th...,2000-02-19,2000-03-25
3392,That Other Woman,2000-09-30,2000-10-28
3397,More,2000-04-29,2000-06-17
3400,What's My Name,2000-01-15,2000-02-12
3415,Tha Block Is Hot,1999-12-04,2000-01-08
3419,N 2 Gether Now,1999-12-04,2000-01-08
3422,"Live, Laugh, Love",1999-12-04,2000-01-22
3428,How Many Licks?,2000-11-25,2000-12-02
3431,My Love Goes On A...,2000-10-21,2000-12-02
3446,Summer Rain,2000-09-23,2000-10-14
3448,Shut Up,2000-05-20,2000-06-17
3571,Don't Say You Lov...,1999-11-20,2000-01-08
3626,You Can Do It,1999-12-04,2000-01-15
3634,Graduation (Frien...,2000-04-15,2000-06-10
3672,The Bad Touch,2000-03-18,2000-04-15
3678,Caught Out There,1999-12-04,2000-01-08
3702,I Think God Can E...,2000-06-10,2000-06-24
3722,Deep Inside Of You,2000-09-02,2000-10-07
3752,The Rockafeller S...,1999-11-13,2000-01-22
3756,The Best Man I Ca...,2000-01-08,2000-03-04
3762,Meanwhile Back At...,2000-11-18,2000-12-16
3782,L.A. Song,1999-11-27,2000-01-15
3788,I'm Outta Love,2000-04-01,2000-04-01
3887,Callin' Me,2000-07-29,2000-09-02
3948,Simple Kind Of Life,2000-07-01,2000-07-22
3991,Because You Love Me,2000-01-29,2000-03-11
4014,There You Are,2000-09-09,2000-10-21
4029,I Need A Hot Girl,2000-02-19,2000-03-11
4052,"Left, Right, Left",2000-02-12,2000-03-18
4076,Sour Girl,2000-07-08,2000-07-29
4078,You Won't Be Lone...,2000-09-23,2000-11-11
4231,Another Dumb Blonde,2000-02-19,2000-04-08
4289,G'D Up,2000-01-08,2000-02-12
4311,Let's Make Love,2000-08-12,2000-10-21
4323,The Great Beyond,1999-12-25,2000-01-29
4325,Some Things Never...,2000-05-13,2000-07-01
4363,That's The Kind O...,2000-09-16,2000-11-18
4372,Whistle While You...,2000-03-18,2000-04-29
4512,Goodbye Earl,2000-03-18,2000-05-06
4559,The One,2000-05-27,2000-07-01
4575,Aaron's Party (Co...,2000-08-26,2000-09-16
4604,www.memory,2000-11-04,2000-12-23
4609,None Of Ur Friend...,1999-12-11,2000-01-22
4612,Someday Out Of Th...,2000-04-22,2000-05-06
4616,Stan,2000-11-04,2000-12-02
4626,Country Comes To ...,2000-08-05,2000-10-14
4627,Girls Dem Sugar,2000-10-21,2000-12-02
4639,Bad Boyz,2000-09-09,2000-10-28
4641,It's Always Somet...,2000-08-12,2000-09-16
4658,Deep Inside,1999-11-13,2000-01-22
4694,It's So Hard,2000-04-22,2000-05-06
4695,When You Need My ...,2000-06-17,2000-09-02
4702,Hey Papi,2000-08-12,2000-10-07
4836,I Think I'm In Lo...,2000-07-01,2000-08-12
4889,Love Is Blind,2000-01-08,2000-02-19
4936,Your Everything,2000-07-15,2000-09-16
4962,You Owe Me,2000-03-25,2000-04-15
5172,Untitled (How Doe...,2000-01-22,2000-02-19
5200,Rhythm Divine,1999-12-04,2000-01-22
5201,I Will Love Again,2000-06-10,2000-08-12
5205,One Night Stand,1999-12-25,2000-02-26
5233,Whoa!,2000-03-04,2000-04-15
5248,The Best Of Me,2000-04-15,2000-05-20
5267,What I Need To Do,2000-04-01,2000-06-10
5268,No More Rain (In ...,1999-12-25,2000-01-22
5291,Treat Her Like A ...,2000-08-05,2000-08-19
5296,Rollin',2000-11-11,2000-12-09
5449,She Bangs,2000-10-07,2000-12-02
5458,Wobble Wobble,2000-04-15,2000-05-06
5476,Shake Your Bon-Bon,1999-11-20,2000-02-12
5529,Back At One,2000-01-15,2000-02-26
5551,Pop A Top,1999-11-13,2000-01-22
5558,Whatever,2000-06-10,2000-08-19
5586,That's What I'm L...,2000-02-26,2000-04-15
5606,Mirror Mirror,2000-04-01,2000-05-27
5679,Re-Arranged,1999-12-04,2000-02-05
5737,The Real Slim Shady,2000-05-06,2000-06-24
5847,Dance Tonight,2000-05-20,2000-07-29
5851,911,2000-10-07,2000-11-25
5854,One Voice,2000-06-17,2000-09-02
5870,The Light,2000-08-05,2000-09-09
5871,Carlene,2000-03-04,2000-04-22
5886,Feelin' Good,2000-02-19,2000-04-08
5892,Angels,1999-11-20,2000-01-22
5900,You'll Always Be ...,2000-06-10,2000-09-09
5940,Californication,2000-07-29,2000-10-14
6030,Be With You,2000-04-01,2000-06-24
6039,Thank God I Found...,1999-12-11,2000-02-19
6045,Give Me Just One ...,2000-08-19,2000-09-30
6066,Blue (Da Ba Dee),1999-12-11,2000-01-29
6067,Bag Lady,2000-08-19,2000-10-07
6074,Oops!.. I Did It ...,2000-04-22,2000-06-10
6075,Shape Of My Heart,2000-10-14,2000-12-02
6077,Between Me And You,2000-09-16,2000-11-18
6082,Take A Picture,1999-11-27,2000-02-05
6084,Shake Ya Ass,2000-08-12,2000-10-28
6086,From The Bottom O...,2000-01-29,2000-02-26
6089,Liar,2000-09-16,2000-10-28
6091,He Can't Love U,1999-12-11,2000-01-08
6094,Big Pimpin',2000-04-22,2000-07-08
6095,Only God Knows Why,2000-02-19,2000-04-15
6100,Swear It Again,2000-04-01,2000-07-01
6102,I Wish,2000-03-25,2000-05-13
6109,Yes!,2000-04-08,2000-07-01
6112,Separated,2000-04-29,2000-05-20
6113,Big Deal,1999-10-16,2000-01-01
6114,Stay The Night,1999-10-09,2000-01-08
6115,The Next Episode,2000-05-27,2000-07-29
6117,Crash And Burn,2000-04-08,2000-05-27
6119,I Like It,2000-01-29,2000-04-15
6120,Broadway,2000-04-22,2000-07-01
6122,Forgot About Dre,2000-01-22,2000-03-25
6124,That's The Way,2000-06-24,2000-08-26
6125,My First Love,2000-11-04,2000-12-16
6127,What'Chu Like,2000-06-03,2000-08-12
6129,Cowboy Take Me Away,1999-11-27,2000-01-29
6130,My Next Thirty Years,2000-10-21,2000-12-16
6132,Better Off Alone,2000-04-08,2000-06-03
6135,Hanginaround,1999-11-06,2000-01-29
6136,Shackles (Praise ...,2000-03-25,2000-05-13
6139,Falls Apart,2000-01-15,2000-02-19
6141,Where I Wanna Be,2000-04-22,2000-07-08
6142,We Danced,2000-10-14,2000-12-16
6143,What About Now,2000-06-10,2000-08-19
6145,How Do You Like M...,2000-01-29,2000-04-08
6146,The Best Day,2000-01-29,2000-04-22
6147,Without You,2000-10-07,2000-12-23
6148,Just Friends (Sunny),2000-10-14,2000-12-30
6149,What Do You Say,1999-10-30,2000-01-29
6150,Just Be A Man Abo...,2000-07-29,2000-09-02
6153,It's My Life,2000-08-12,2000-09-30
6154,Born To Fly,2000-10-21,2000-12-30
6155,I Lost It,2000-10-21,2000-12-23
6158,I Don't Wanna,2000-01-29,2000-03-04
6159,The Little Girl,2000-09-09,2000-10-28
6161,Just Another Day ...,2000-09-30,2000-12-02
6165,It Must Be Love,2000-06-24,2000-09-02
6166,She's More,2000-03-11,2000-06-10
6169,Prayin' For Daylight,2000-05-06,2000-08-12
6172,Smile,1999-12-18,2000-02-12
6173,Buy Me A Rose,2000-03-11,2000-05-06
6174,Lessons Learned,2000-01-29,2000-04-08
6176,Got To Get It,1999-11-20,2000-01-22
6177,Who Let The Dogs Out,2000-07-22,2000-10-21
6178,The Chain Of Love,2000-04-15,2000-06-10
6179,Love's The Only H...,2000-02-05,2000-04-15
6181,Kiss This,2000-08-26,2000-10-21
6182,I Will.. But,2000-07-15,2000-09-16
6183,Couldn't Last A M...,2000-03-18,2000-06-24
6186,Been There,2000-02-19,2000-04-15
6193,Emotional,2000-11-25,2000-12-30
6195,Unconditional,2000-03-25,2000-06-17
6196,What You Want,2000-07-01,2000-09-23
6200,Flowers On The Wall,2000-04-29,2000-08-12
6202,I'll Be,2000-05-13,2000-07-29
6207,Could I Have This...,2000-06-17,2000-08-05
6216,Loser,2000-10-21,2000-12-02
6222,Last Resort,2000-07-29,2000-12-02
6223,Open My Heart,2000-08-26,2000-10-21
6228,Taking You Home,2000-06-24,2000-08-05
6231,Change Your Mind,2000-07-15,2000-08-05
6244,You Should've Tol...,2000-09-23,2000-12-02
6261,My Baby You,2000-09-16,2000-10-07
6267,Can't Fight The M...,2000-09-09,2000-09-16
6286,I Disappear,2000-05-13,2000-06-17
6311,Don't Call Me Baby,2000-07-08,2000-09-16
6344,Come On Over Baby...,2000-08-05,2000-10-14
6375,Hot Boyz,1999-11-27,2000-01-08
6388,Wifey,2000-05-27,2000-09-09
6393,Wonderful,2000-07-08,2000-09-30
6397,I Just Wanna Love...,2000-10-28,2000-12-30
6407,Pinch Me,2000-09-09,2000-11-25
6413,Learn To Fly,1999-10-16,2000-01-22
6428,You're A God,2000-08-26,2000-11-04
6445,Party Up (Up In H...,2000-02-26,2000-04-22
6455,My Best Friend,1999-11-27,2000-01-29
6492,Go On,2000-08-26,2000-10-28
6523,Feels Like Love,2000-09-02,2000-11-18
6683,I Turn To You,2000-04-15,2000-07-01
6690,Gotta Tell You,2000-09-09,2000-12-09
6721,Never Let You Go,2000-01-22,2000-04-01
6722,Otherside,2000-02-12,2000-05-27
6733,Bounce With Me,2000-08-19,2000-09-16
6739,What's Your Fantasy,2000-09-30,2000-12-16
6765,Best Of Intentions,2000-08-19,2000-12-02
7004,Bye Bye Bye,2000-01-29,2000-04-15
7016,All The Small Things,1999-12-04,2000-02-19
7294,Music,2000-08-12,2000-09-16
7296,Doesn't Really Ma...,2000-06-17,2000-08-26
7302,What A Girl Wants,1999-11-27,2000-01-15
7330,Show Me The Meani...,2000-01-01,2000-03-18
7341,It Feels So Good,2000-01-22,2000-04-22
7349,Let's Get Married,2000-05-06,2000-07-29
7376,Faded,2000-07-08,2000-09-09
7386,Don't Think I'm Not,2000-08-05,2000-10-07
7618,It's Gonna Be Me,2000-05-06,2000-07-29
7663,I Need You,2000-05-27,2000-08-12
7926,"Maria, Maria",2000-02-12,2000-04-08
7933,Incomplete,2000-06-24,2000-08-12
7962,This I Promise You,2000-09-30,2000-12-02
7963,No More,2000-07-01,2000-09-02
7981,Then The Morning ...,1999-10-30,2000-01-29
7995,Desert Rose,2000-05-13,2000-08-26
8028,A Puro Dolor (Pur...,2000-04-08,2000-08-19
8274,Most Girls,2000-08-12,2000-11-25
8278,I Try,2000-02-19,2000-05-20
8282,Absolutely (Story...,2000-05-06,2000-07-22
8320,Meet Virginia,1999-10-09,2000-01-22
8340,I Wanna Be With You,2000-06-17,2000-08-12
8559,Independent Women...,2000-09-23,2000-11-18
8578,He Loves U Not,2000-09-30,2000-12-30
8584,Thong Song,2000-01-29,2000-05-20
8586,My Love Is Your Love,1999-09-04,2000-01-08
8600,That's The Way It Is,1999-11-13,2000-03-04
8910,Bring It All To Me,1999-10-23,2000-01-22
9211,Case Of The Ex (W...,2000-08-19,2000-12-02
9572,Back Here,2000-04-29,2000-07-29
9833,Say My Name,1999-12-25,2000-03-18
9841,Try Again,2000-03-18,2000-06-17
9848,You Sang To Me,2000-02-26,2000-06-03
9850,Jumpin' Jumpin',2000-05-13,2000-08-19
9856,Get It On.. Tonite,1999-10-23,2000-02-12
9872,There U Go,2000-03-04,2000-04-08
10146,I Knew I Loved You,1999-10-23,2000-01-29
10301,Sexual (Li Da Di),1999-07-17,2000-02-12
10508,(Hot S**t) Countr...,2000-04-29,2000-09-16
11432,He Wasn't Man Enough,2000-03-18,2000-05-06
12061,Bent,2000-04-29,2000-07-22
12692,Everything You Want,2000-01-22,2000-07-15
13659,I Wanna Know,2000-01-01,2000-07-01
14595,With Arms Wide Open,2000-05-13,2000-11-11
16501,Breathe,1999-11-06,2000-04-22
16508,Kryptonite,2000-04-08,2000-11-11
19980,Amazed,1999-06-05,2000-03-04
20334,Higher,1999-09-11,2000-07-22
